Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
6476,Sajahan Biswas,JANGIPUR,All India Secular Front,0,8th Pass,"Rs 16,60,65,725  ~ 16 Crore+","Rs 3,64,34,766  ~ 3 Crore+"
6477,Sajal Kumar De,BARDHAMAN PURBA (SC),CPI(ML)(L),0,Graduate,,
6478,Sajda Ahmed,ULUBERIA,AITC,0,Graduate,"Rs 4,40,42,025  ~ 4 Crore+",Rs 0  ~
6479,Saji Alias Shaji,IDUKKI,Viduthalai Chiruthaigal Katchi,2,8th Pass,"Rs 70,61,172  ~ 70 Lacs+","Rs 10,00,000  ~ 10 Lacs+"
6480,Sajid Yakub Munshi,BHARUCH,IND,0,12th Pass,,
6481,Sakaldeo Das,JAMUI (SC),BSP,0,12th Pass,"Rs 38,54,100  ~ 38 Lacs+",Rs 0  ~
6482,Sakasen,DHAURAHRA,Sardar Patel Siddhant Party,0,Graduate,"Rs 1,65,500  ~ 1 Lacs+",Rs 0  ~
6483,Saket Misra,SHRAWASTI,BJP,0,Post Graduate,,
6484,Sakhineti Anantha Raju,VIZIANAGARAM,Pyramid Party of India,0,5th Pass,"Rs 44,35,500  ~ 44 Lacs+","Rs 5,23,000  ~ 5 Lacs+"
6485,Sakil Latif Khan,DAMAN & DIU,IND,1,5th Pass,"Rs 4,37,680  ~ 4 Lacs+","Rs 1,50,000  ~ 1 Lacs+"
6486,Sakthivel,TIRUCHIRAPPALLI,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,10th Pass,,
6487,Sakthivel A,ARANI,Thakkam Katchi,0,Post Graduate,"Rs 53,53,000  ~ 53 Lacs+","Rs 8,23,209  ~ 8 Lacs+"
6488,Sakthivel S,NAMAKKAL,IND,0,Graduate Professional,"Rs 15,000  ~ 15 Thou+",Rs 0  ~
6489,Sakthivel. N,KARUR,IND,0,Graduate Professional,,
6490,Sakthivel. R,KARUR,IND,0,10th Pass,"Rs 54,56,120  ~ 54 Lacs+",Rs 0  ~
6491,Salamat Mondal,ANDAMAN AND NICOBAR ISLANDS,SUCI(C),0,Literate,"Rs 1,79,62,500  ~ 1 Crore+","Rs 45,00,000  ~ 45 Lacs+"
6492,Salauddin Khan Pathan,BEED,IND,0,Literate,,
6493,Saleem,RAMANATHAPURAM,IND,0,12th Pass,"Rs 79,77,069  ~ 79 Lacs+","Rs 47,66,738  ~ 47 Lacs+"
6494,Saleem. S,DAVANAGERE,IND,0,10th Pass,"Rs 4,00,000  ~ 4 Lacs+",Rs 0  ~
6495,Saleh Ahmed Mazumdar,KAZIRANGA,Republican Party of India (Athawale),0,Graduate,,
6496,Saleng A Sangma,TURA (ST),INC,0,Post Graduate,"Rs 4,00,49,264  ~ 4 Crore+","Rs 57,08,458  ~ 57 Lacs+"
6497,Salik Ram Jogi,BILASPUR,IND,0,Post Graduate,"Rs 52,00,000  ~ 52 Lacs+",Rs 0  ~
6498,Salim Ahmed,KAZIRANGA,Asom Jana Morcha,0,8th Pass,,
6499,Salim Allabaksha Sayyad,BEED,IND,0,10th Pass,"Rs 6,50,000  ~ 6 Lacs+",Rs 0  ~
6500,Salim Baba Sayyad,SHIRUR,IND,0,8th Pass,"Rs 14,075  ~ 14 Thou+",Rs 0  ~
6501,Salim Nurmuhamad Bagwan,KOLHAPUR,IND,0,5th Pass,,
6502,Salima Muktar Vasani,THANE,Bahujan Maha Party,0,10th Pass,"Rs 61,41,000  ~ 61 Lacs+",Rs 0  ~
6503,Salimuddin Khaliluddin Shaikh,KALYAN,IND,0,Illiterate,"Rs 7,75,315  ~ 7 Lacs+",Rs 0  ~
6504,Salopantula Raghavendra Rao,RAJAHMUNDRY,IND,0,Post Graduate,,
6505,Salveru Ramesh,HYDERABAD,Indian Praja Congress,0,Others,"Rs 83,95,500  ~ 83 Lacs+","Rs 20,00,000  ~ 20 Lacs+"
6506,Samad Choudhury,GUWAHATI,Bharatiya Gana Parishad,0,8th Pass,"Rs 45,48,800  ~ 45 Lacs+","Rs 6,06,000  ~ 6 Lacs+"
6507,Samar Kumar Biswas,BANKURA,Kisan Mazdoor Sangharsh Party,0,Post Graduate,,
6508,Samar Shah Singh Gond,SHAHDOL (ST),CPI,0,Post Graduate,"Rs 18,47,200  ~ 18 Lacs+","Rs 70,000  ~ 70 Thou+"
6509,Samaran,CHENNAI CENTRAL,BSP,0,Graduate Professional,"Rs 10,31,000  ~ 10 Lacs+",Rs 0  ~
6510,Samareddy Balakrishna,ARAKU (ST),IND,0,Post Graduate,,
6511,Samarendra Nath Mondal,JAYNAGAR (SC),Revolutionary Socialist Party,2,10th Pass,"Rs 70,65,334  ~ 70 Lacs+","Rs 2,83,348  ~ 2 Lacs+"
6512,Samaresh Biswas,BANGAON (SC),Party for Democratic Socialism,0,10th Pass,"Rs 81,93,512  ~ 81 Lacs+","Rs 41,500  ~ 41 Thou+"
6513,Samay Singh,GURGAON,IND,0,Graduate,,
6514,Sambhaji Jagannath Jadhav,KALYAN,Sanyukt Bharat Paksh,0,12th Pass,"Rs 28,48,931  ~ 28 Lacs+","Rs 2,49,736  ~ 2 Lacs+"
6515,Sambhu Chettri,SIKKIM,IND,0,5th Pass,"Rs 9,04,925  ~ 9 Lacs+",Rs 0  ~
6516,Sambit Patra,PURI,BJP,1,Post Graduate,,
6517,Sameer Mirza,CHANDNI CHOWK,Rashtriya Republican Party,0,12th Pass,"Rs 1,65,000  ~ 1 Lacs+",Rs 0  ~
6518,Sameer More,MUMBAI NORTH - WEST,IND,0,Graduate,"Rs 37,35,213  ~ 37 Lacs+","Rs 21,78,150  ~ 21 Lacs+"
6519,Sameer Singh,MIRZAPUR,All India Forward Bloc,1,Graduate Professional,,
6520,Sameersingh Rameshchandra Salvi,OSMANABAD,IND,0,10th Pass,"Rs 1,17,85,891  ~ 1 Crore+","Rs 8,25,295  ~ 8 Lacs+"
6521,Samej Uddin,BARPETA,Bodoland Peoples Front,0,Graduate,"Rs 31,06,668  ~ 31 Lacs+","Rs 1,13,943  ~ 1 Lacs+"
6522,Samim Ali Mollick,HOOGHLY,IND,0,Graduate,,
6523,Samir Ganeshrao Dudhgaonkar,PARBHANI,IND,1,Post Graduate,"Rs 2,39,62,903  ~ 2 Crore+","Rs 37,54,156  ~ 37 Lacs+"
6524,Samir Kumar Mohanty,JAMSHEDPUR,JMM,2,Graduate,"Rs 47,18,863  ~ 47 Lacs+","Rs 11,44,350  ~ 11 Lacs+"
6525,Samir Oraon,LOHARDAGA (ST),BJP,1,12th Pass,,
6526,Samiran Das,BAHARAMPUR,IND,0,8th Pass,"Rs 40,200  ~ 40 Thou+",Rs 0  ~
6527,Samiruddin,JANGIPUR,SUCI(C),0,Graduate,"Rs 3,05,394  ~ 3 Lacs+",Rs 0  ~
6528,Sammed Saradar Vardhamane,CHIKKODI,IND,0,Graduate,,
6529,Sampa Guha,KOLKATA UTTAR,Bharatiya Nyay-Adhikar Raksha Party,0,Post Graduate,"Rs 33,28,028  ~ 33 Lacs+",Rs 0  ~
6530,Sampoorn Anand,GURGAON,Rashtriya Lokswaraj Party,0,12th Pass,"Rs 62,04,627  ~ 62 Lacs+","Rs 6,46,530  ~ 6 Lacs+"
6531,Samrat Ashok Singh Saraswar,BALAGHAT,INC,1,10th Pass,,
6532,Samrendra Kumar,DHAURAHRA,IND,0,Post Graduate,"Rs 17,05,000  ~ 17 Lacs+","Rs 2,90,000  ~ 2 Lacs+"
6533,Samsul Alam,NAGAON,IND,0,Graduate,"Rs 44,50,000  ~ 44 Lacs+","Rs 7,00,000  ~ 7 Lacs+"
6534,Samudrala Chinna Kotaiah,GUNTUR,Jaibhim Rao Bharat Party,0,10th Pass,,
6535,Samuel Lawrence Ponniah,TIRUNELVELI,IND,0,10th Pass,"Rs 64,16,921  ~ 64 Lacs+",Rs 0  ~
6536,Samuel Soni,GURDASPUR,IND,0,Post Graduate,"Rs 97,83,045  ~ 97 Lacs+","Rs 9,71,000  ~ 9 Lacs+"
6537,Samuel T,THOOTHUKKUDI,IND,0,8th Pass,,
6538,Samyukta Shivanand Patil,BAGALKOT,INC,0,Graduate Professional,"Rs 3,96,99,839  ~ 3 Crore+","Rs 63,04,680  ~ 63 Lacs+"
6539,Sanaka Mahato,JAMSHEDPUR,SUCI(C),0,8th Pass,"Rs 3,25,763  ~ 3 Lacs+","Rs 30,000  ~ 30 Thou+"
6540,Sanan Ram,PALAMU (SC),Lokhit Adhikar Party,0,10th Pass,,
6541,Sanapala Sravan Kumar,SRIKAKULAM,IND,0,Graduate,"Rs 5,42,91,939  ~ 5 Crore+","Rs 1,84,29,000  ~ 1 Crore+"
6542,Sanatan Dutta,RAIGANJ,SUCI(C),0,Graduate,"Rs 29,23,847  ~ 29 Lacs+","Rs 9,00,000  ~ 9 Lacs+"
6543,Sanatan Pandey,BALLIA,SP,2,Others,,
6544,Sanatan Rishi,MALDAHA UTTAR,BSP,0,12th Pass,"Rs 28,58,150  ~ 28 Lacs+","Rs 22,00,000  ~ 22 Lacs+"
6545,Sanchita Bera,HOOGHLY,IND,0,10th Pass,"Rs 5,30,000  ~ 5 Lacs+",Rs 0  ~
6546,Sandeep Babulal Meshram,AMRAVATI (SC),IND,0,Graduate,,
6547,Sandeep Bhau Ramchandra Jadhav,MUMBAI NORTH - CENTRAL,IND,0,Graduate,"Rs 95,000  ~ 95 Thou+",Rs 0  ~
6548,Sandeep Gundopant Sankpal,KOLHAPUR,IND,0,10th Pass,"Rs 12,57,500  ~ 12 Lacs+","Rs 7,50,000  ~ 7 Lacs+"
6549,Sandeep Kumar,BADAUN,IND,0,12th Pass,,
6550,Sandeep Lot Valmiki,SIRSA (SC),Indian National Lok Dal,0,Others,"Rs 2,19,76,409  ~ 2 Crore+","Rs 43,41,157  ~ 43 Lacs+"
6551,Sandeep Ramrao Shelke,BULDHANA,IND,1,Graduate,"Rs 13,07,79,980  ~ 13 Crore+","Rs 1,50,86,753  ~ 1 Crore+"
6552,Sandeep Singh,PRATAPGARH,National Jan Dal,0,12th Pass,,
6553,Sandesh,DEORIA,BSP,0,Graduate,"Rs 40,90,511  ~ 40 Lacs+",Rs 0  ~
6554,Sandesh Shetty. A,SHIMOGA,IND,0,12th Pass,"Rs 1,44,904  ~ 1 Lacs+",Rs 0  ~
6555,Sandesh.G,CHIKKBALLAPUR,IND,1,10th Pass,,
6556,Sandhya Jaiswal,KHERI,Parivartan Samaj Party,0,Post Graduate,"Rs 5,73,585  ~ 5 Lacs+",Rs 0  ~
6557,Sandhya Ray,BHIND (SC),BJP,0,Post Graduate,"Rs 9,67,72,861  ~ 9 Crore+","Rs 1,14,00,000  ~ 1 Crore+"
6558,Sandhya Thakkar,NEW DELHI,Rashtriya Republican Party,0,Post Graduate,,
6559,Sandip Abaji Deokate,BARAMATI,IND,0,Post Graduate,"Rs 4,50,512  ~ 4 Lacs+","Rs 2,73,000  ~ 2 Lacs+"
6560,Sandip Dadarao Mankar,AURANGABAD,IND,0,Graduate,"Rs 1,60,000  ~ 1 Lacs+","Rs 3,75,000  ~ 3 Lacs+"
6561,Sandip Devidas Jadhav,AURANGABAD,IND,0,Graduate,,
6562,Sandip Kumar,MUZAFFARPUR,Jantantra Awaj Party,0,10th Pass,"Rs 2,70,000  ~ 2 Lacs+",Rs 0  ~
6563,Sandip Kumar Dey,BANKURA,IND,1,Post Graduate,"Rs 79,69,111  ~ 79 Lacs+","Rs 28,47,913  ~ 28 Lacs+"
6564,Sandip Nath,JADAVPUR,BSP,0,Post Graduate,,
6565,Sandip Sahadeo Meshram,RAMTEK (SC),BSP,1,12th Pass,"Rs 4,20,00,000  ~ 4 Crore+","Rs 60,000  ~ 60 Thou+"
6566,Sandip Sampat Shinde,YAVATMAL - WASHIM,IND,0,5th Pass,"Rs 90,000  ~ 90 Thou+",Rs 0  ~
6567,Sanem Raju Goud,CHEVELLA,Praja Ektha Party,0,Graduate,,
6568,Sangala Flory,SECUNDERABAD,IND,2,Post Graduate,"Rs 1,07,49,133  ~ 1 Crore+",Rs 0  ~
6569,Sangam Lal Gupta,PRATAPGARH,BJP,2,8th Pass,"Rs 39,49,32,229  ~ 39 Crore+","Rs 1,65,345  ~ 1 Lacs+"
6570,Sangaraju Nageswara Raju,RAJAMPET,IND,0,Graduate Professional,,
6571,Sangeeta Beniwal,PALI,INC,0,Post Graduate,"Rs 6,87,69,956  ~ 6 Crore+","Rs 73,56,573  ~ 73 Lacs+"
6572,Sangeeta Kumari Singh Deo,BOLANGIR,BJP,1,Graduate,"Rs 67,30,60,630  ~ 67 Crore+","Rs 75,00,000  ~ 75 Lacs+"
6573,Sangeeta Pattanaik,BHUBANESWAR,Odisha Janata Party,0,Graduate Professional,,
6574,Sangeeta Tomar,FATEHPUR SIKRI,Bharatiya Majdoor Janta Party,0,Literate,"Rs 1,66,80,000  ~ 1 Crore+","Rs 62,708  ~ 62 Thou+"
6575,Sangeeta Vyakantrao Giri,PARBHANI,Swarajya Shakti Sena,0,10th Pass,"Rs 3,00,000  ~ 3 Lacs+",Rs 0  ~
6576,Sangeeta Yadav,PHULPUR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,,
6577,Sangeetha R,COIMBATORE,Naadaalum Makkal Katchi,0,10th Pass,"Rs 55,94,457  ~ 55 Lacs+","Rs 20,00,000  ~ 20 Lacs+"
6578,Sangepaga Sarojanamma,MAHBUBNAGAR,IND,0,Others,"Rs 5,11,201  ~ 5 Lacs+","Rs 2,204  ~ 2 Thou+"
6579,Sangita Dinesh Chavhan,YAVATMAL - WASHIM,IND,0,12th Pass,,
6580,Sangita Ganesh Jadhav,AURANGABAD,IND,0,Literate,"Rs 30,00,000  ~ 30 Lacs+",Rs 0  ~
6581,Sangita Rajvanshi,MISRIKH (SC),SP,0,10th Pass,"Rs 4,96,45,031  ~ 4 Crore+",Rs 0  ~
6582,Sangram Mardi,SINGHBHUM (ST),IND,0,10th Pass,,
6583,Sangram Rajaram More,SANGLI,IND,0,Graduate,"Rs 29,99,000  ~ 29 Lacs+","Rs 2,30,000  ~ 2 Lacs+"
6584,Sangram Singh Yadav,SAGAR,IND,0,5th Pass,"Rs 22,42,000  ~ 22 Lacs+",Rs 0  ~
6585,Sanjana Ram,KOLKATA DAKSHIN,IND,0,Graduate,,
6586,Sanjay,EAST DELHI,Public Political Party,0,12th Pass,"Rs 4,66,683  ~ 4 Lacs+",Rs 0  ~
6587,Sanjay,ROHTAK,IND,0,Graduate,"Rs 1,28,78,600  ~ 1 Crore+","Rs 11,16,000  ~ 11 Lacs+"
6588,Sanjay (Kaka) Patil,SANGLI,BJP,1,10th Pass,,
6589,Sanjay B. Patil,MUMBAI NORTH - EAST,National Peoples Party,0,5th Pass,"Rs 21,51,688  ~ 21 Lacs+","Rs 35,000  ~ 35 Thou+"
6590,Sanjay Bhaskar Shirsat,AURANGABAD,IND,0,Post Graduate,"Rs 37,50,697  ~ 37 Lacs+","Rs 9,97,654  ~ 9 Lacs+"
6591,Sanjay Bhikaji Magade,KOLHAPUR,BSP,0,Graduate,,
6592,Sanjay Bhoi,BARGARH,INC,0,Graduate,"Rs 3,91,69,381  ~ 3 Crore+",Rs 0  ~
6593,Sanjay Dass,SONIPAT,IND,0,12th Pass,"Rs 31,60,000  ~ 31 Lacs+",Rs 0  ~
6594,Sanjay Dina Patil,MUMBAI NORTH - EAST,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,,
6595,Sanjay Gajanan Kewat,BHANDARA GONDIYA,Vanchit Bahujan Aaghadi,0,Graduate,"Rs 34,45,000  ~ 34 Lacs+","Rs 58,500  ~ 58 Thou+"
6596,Sanjay Kumar,KAUSHAMBI (SC),IND,0,12th Pass,"Rs 1,05,000  ~ 1 Lacs+",Rs 0  ~
6597,Sanjay Kumar,PASCHIM CHAMPARAN,Viro Ke Vir Indian Party,0,Post Graduate,,
6598,Sanjay Kumar,MUZAFFARPUR,IND,6,5th Pass,"Rs 12,15,000  ~ 12 Lacs+",Rs 0  ~
6599,Sanjay Kumar,KHAGARIA,CPI(M),0,10th Pass,"Rs 2,21,13,710  ~ 2 Crore+",Rs 0  ~
6600,Sanjay Kumar,SURGUJA (ST),BSP,0,Post Graduate,,
6601,Sanjay Kumar Alias Sanjay Balmiki,PATNA SAHIB,IND,0,Post Graduate,"Rs 15,32,420  ~ 15 Lacs+",Rs 0  ~
6602,Sanjay Kumar Bharti,PILIBHIT,Rashtriya Samaj Dal (R),0,8th Pass,"Rs 16,85,000  ~ 16 Lacs+","Rs 1,22,000  ~ 1 Lacs+"
6603,Sanjay Kumar Giri,DHANBAD,Akhil Bharat Hindu Mahasabha,1,12th Pass,,
6604,Sanjay Kumar Mehta,HAZARIBAGH,IND,0,Post Graduate,"Rs 3,46,695  ~ 3 Lacs+",Rs 0  ~
6605,Sanjay Kumar Sah,SIWAN,Bhartiya Lok Nayak Party,0,Post Graduate,"Rs 1,46,75,000  ~ 1 Crore+","Rs 45,00,000  ~ 45 Lacs+"
6606,Sanjay Kumar Saroj,BHOPAL,Manav Samadhan Party,0,8th Pass,,
6607,Sanjay Kumar Singh,PATALIPUTRA,Bhartiya Sarthak Party,0,12th Pass,"Rs 59,30,000  ~ 59 Lacs+","Rs 2,30,000  ~ 2 Lacs+"
6608,Sanjay Kumar Sinha,CHANDAULI,Jai Hind National Party,0,12th Pass,"Rs 1,22,00,000  ~ 1 Crore+","Rs 30,00,000  ~ 30 Lacs+"
6609,Sanjay Kumar Siwal,NORTH WEST DELHI (SC),Rashtriya Janshakti Party (Secular),0,12th Pass,,
6610,Sanjay Kumar Snehi,CHATRA,Lokhit Adhikar Party,0,10th Pass,"Rs 1,97,60,000  ~ 1 Crore+",Rs 0  ~
6611,Sanjay Kumar Tiwari,VARANASI,IND,0,Graduate Professional,"Rs 2,40,46,828  ~ 2 Crore+","Rs 1,31,54,294  ~ 1 Crore+"
6612,Sanjay Laxman Kendale,PUNE,IND,0,Graduate,,
6613,Sanjay Laxman Padwal,SHIRUR,Bhartiya Navjawan Sena (Paksha),0,10th Pass,"Rs 2,25,000  ~ 2 Lacs+",Rs 0  ~
6614,Sanjay Mafatlal Morakhia,MUMBAI NORTH,IND,0,10th Pass,"Rs 48,43,72,533  ~ 48 Crore+","Rs 39,24,05,345  ~ 39 Crore+"
6615,Sanjay Manohar More,THANE,IND,0,Others,,
6616,Sanjay Namdeo,SIDHI,CPI,0,Literate,"Rs 22,33,000  ~ 22 Lacs+",Rs 0  ~
6617,Sanjay Nilkanth Gawande,CHANDRAPUR,IND,1,12th Pass,"Rs 5,80,000  ~ 5 Lacs+",Rs 0  ~
6618,Sanjay Paswan,UJIARPUR,IND,1,10th Pass,,
6619,Sanjay Patil,MUMBAI NORTH - EAST,IND,0,8th Pass,"Rs 10,43,603  ~ 10 Lacs+",Rs 0  ~
6620,Sanjay Popat Bhalerao,SHIRDI (SC),IND,0,10th Pass,"Rs 2,67,700  ~ 2 Lacs+",Rs 0  ~
6621,Sanjay Prakash Sahu,BILASPUR,IND,1,10th Pass,,
6622,Sanjay Pralhad Kandelkar,RAVER,IND,0,8th Pass,"Rs 3,43,000  ~ 3 Lacs+","Rs 70,000  ~ 70 Thou+"
6623,Sanjay Rajesh,NALANDA,Karpoori Janta Dal,1,Graduate,"Rs 86,90,000  ~ 86 Lacs+",Rs 0  ~
6624,Sanjay Rameshwar Sharma,DHULE,IND,5,8th Pass,,
6625,Sanjay Rawat,NEW DELHI,IND,0,Graduate,"Rs 1,77,82,379  ~ 1 Crore+",Rs 0  ~
6626,Sanjay S/O Lakshman Solanki,INDORE,BSP,0,Graduate,"Rs 52,45,000  ~ 52 Lacs+","Rs 3,58,000  ~ 3 Lacs+"
6627,Sanjay Sadashivrao Mandlik,KOLHAPUR,Shiv Sena,0,Post Graduate,,
6628,Sanjay Saoji Deshpande,MUMBAI NORTH - EAST,Republican Party of India,0,10th Pass,"Rs 1,58,64,000  ~ 1 Crore+",Rs 0  ~
6629,Sanjay Seth,RANCHI,BJP,2,Graduate Professional,"Rs 2,41,52,085  ~ 2 Crore+","Rs 32,44,306  ~ 32 Lacs+"
6630,Sanjay Sharma Sanju Bhaiya,HOSHANGABAD,INC,1,12th Pass,,
6631,Sanjay Singh,BARRACKPUR,IND,11,10th Pass,"Rs 43,91,438  ~ 43 Lacs+",Rs 0  ~
6632,Sanjay Singh,KANPUR,"Proutist Bloc, India",0,Post Graduate,"Rs 10,95,055  ~ 10 Lacs+",Rs 0  ~
6633,Sanjay Singh Rana,GORAKHPUR,Bhartiya Sarvdharm Party,0,Graduate,,
6634,Sanjay Tandon,CHANDIGARH,BJP,0,Graduate Professional,"Rs 1,11,86,20,819  ~ 111 Crore+","Rs 5,66,52,912  ~ 5 Crore+"
6635,Sanjay Tudu,DUMKA (ST),IND,0,12th Pass,"Rs 23,88,000  ~ 23 Lacs+","Rs 5,00,000  ~ 5 Lacs+"
6636,Sanjay Uttamrao Deshmukh,YAVATMAL - WASHIM,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,,
6637,Sanjay Uttamrao Jagtap,AURANGABAD,BSP,0,12th Pass,"Rs 1,96,52,000  ~ 1 Crore+",Rs 0  ~
6638,Sanjay Vasantrao Borkar,RAMTEK (SC),Maharashtra Vikas Aghadi,0,Graduate,"Rs 14,75,000  ~ 14 Lacs+","Rs 32,000  ~ 32 Thou+"
6639,Sanjaya Kumar Bishoyi,ASKA,IND,1,Post Graduate,,
6640,Sanjaya Kumar Yadav,EAST DELHI,Right to Recall Party,0,12th Pass,"Rs 1,04,000  ~ 1 Lacs+",Rs 0  ~
6641,Sanjaybhai Maganbhai Makawana,BHAVNAGAR,IND,3,8th Pass,"Rs 16,11,167  ~ 16 Lacs+","Rs 30,000  ~ 30 Thou+"
6642,Sanjaykumar Bhagwat Waghmare,OSMANABAD,BSP,0,Graduate,,
6643,Sanjaykumar Fattesingh Gadge,AMRAVATI (SC),BSP,0,Graduate Professional,"Rs 2,82,92,754  ~ 2 Crore+","Rs 22,06,202  ~ 22 Lacs+"
6644,Sanjaykumar Laxman Wankhede,RAVER,Republican Party of India (Social),0,Graduate,"Rs 78,75,785  ~ 78 Lacs+","Rs 8,00,000  ~ 8 Lacs+"
6645,Sanjaykumar S,COIMBATORE,IND,0,Post Graduate,,
6646,Sanjeev Kumar,NAGINA (SC),IND,2,Post Graduate,"Rs 1,64,500  ~ 1 Lacs+",Rs 0  ~
6647,Sanjeev Kumar,NORTH EAST DELHI,Public Political Party,0,12th Pass,"Rs 3,58,100  ~ 3 Lacs+",Rs 0  ~
6648,Sanjeev Kumar (Sanju),LUDHIANA,IND,0,12th Pass,,
6649,Sanjeev Kumar Balyan,MUZAFFARNAGAR,BJP,2,Doctorate,"Rs 3,11,39,902  ~ 3 Crore+",Rs 0  ~
6650,Sanjeev Kumar Mishra,PHULPUR,Yuva Vikas Party,0,Post Graduate,"Rs 86,40,500  ~ 86 Lacs+","Rs 5,42,000  ~ 5 Lacs+"
6651,Sanjeev Kumar Pandey,NORTH EAST DELHI,Bharatiya Liberal Party,0,Graduate,,
6652,Sanjeev Manhas,GURDASPUR,IND,0,Post Graduate,"Rs 6,82,05,434  ~ 6 Crore+","Rs 3,03,699  ~ 3 Lacs+"
6653,Sanjeev Singh,GURDASPUR,IND,1,Graduate Professional,"Rs 11,38,85,000  ~ 11 Crore+","Rs 40,00,000  ~ 40 Lacs+"
6654,Sanjib Chatterjee,BARASAT,All India Forward Bloc,2,12th Pass,,
6655,Sanjib Dey,MEDINIPUR,IND,0,10th Pass,"Rs 13,056  ~ 13 Thou+",Rs 0  ~
6656,Sanjit Biswas,KRISHNANAGAR,IND,0,Post Graduate,"Rs 10,13,163  ~ 10 Lacs+",Rs 0  ~
6657,Sanjiv Kumar,HAMIRPUR,Spashtwadi Jan Aadhar Party,0,Graduate,,
6658,Sanjna Jatav,BHARATPUR (SC),INC,0,Graduate,"Rs 23,10,193  ~ 23 Lacs+","Rs 7,15,340  ~ 7 Lacs+"
6659,Sanjog Bhiku Waghere Patil,MAVAL,ShivSena (Uddhav Balasaheb Thackeray),3,10th Pass,"Rs 18,40,99,609  ~ 18 Crore+","Rs 2,98,32,822  ~ 2 Crore+"
6660,Sanjog Patil,MAVAL,IND,0,Graduate,,
6661,Sanjoy (Rana) Chanda,KOLKATA DAKSHIN,Kisan Mazdoor Sangharsh Party,0,12th Pass,"Rs 54,664  ~ 54 Thou+",Rs 0  ~
6662,Sanju Maruti Pawar,MUMBAI NORTH - EAST,Maharashtra Vikas Aghadi,0,Graduate,"Rs 1,52,58,000  ~ 1 Crore+","Rs 12,00,000  ~ 12 Lacs+"
6663,Sankar Das,JAGATSINGHPUR (SC),IND,1,Graduate,,
6664,Sankaran. S,KARUR,BSP,0,10th Pass,"Rs 9,44,045  ~ 9 Lacs+",Rs 0  ~
6665,Sankaranarayanan N,VIRUDHUNAGAR,IND,0,Others,"Rs 4,59,940  ~ 4 Lacs+",Rs 0  ~
6666,Sankarapandi M.P.,MADURAI,IND,0,5th Pass,,
6667,Sankhat Vikrambhai Visabhai,AMRELI,Global Republican Party,1,10th Pass,"Rs 15,70,000  ~ 15 Lacs+",Rs 0  ~
6668,Sant Dharamveer Chotivala,SONIPAT,IND,0,Graduate,"Rs 13,08,03,000  ~ 13 Crore+","Rs 5,00,000  ~ 5 Lacs+"
6669,Sant Sewak,GURDASPUR,IND,0,12th Pass,,
6670,Santanu Kumar Das,PURI,BSP,0,Doctorate,"Rs 1,41,98,700  ~ 1 Crore+","Rs 30,00,000  ~ 30 Lacs+"
6671,Santanu Mandal,DUM DUM,Democratic Socialist Party of India,0,Graduate,"Rs 11,15,116  ~ 11 Lacs+",Rs 0  ~
6672,Santanu Mukherjee,NAGAON,Bharatiya Gana Parishad,0,Graduate,,
6673,Santanu Roy,KOLKATA DAKSHIN,IND,0,12th Pass,"Rs 1,00,79,896  ~ 1 Crore+",Rs 0  ~
6674,Santhakumar N,KANNIYAKUMARI,IND,0,Graduate,"Rs 1,79,04,955  ~ 1 Crore+",Rs 0  ~
6675,Santhalingam C,SALEM,IND,0,Graduate Professional,,
6676,Santhosh B.N,HASSAN,IND,0,12th Pass,"Rs 1,58,247  ~ 1 Lacs+",Rs 0  ~
6677,Santhosh K,ATTINGAL,IND,0,10th Pass,"Rs 35,56,364  ~ 35 Lacs+","Rs 2,59,000  ~ 2 Lacs+"
6678,Santhosh Kumar. V,KANCHEEPURAM (SC),Naam Tamilar Katchi,1,Graduate Professional,,
6679,Santhosh M,BANGALORE NORTH,Uttama Prajaakeeya Party,0,Graduate,"Rs 12,14,600  ~ 12 Lacs+",Rs 0  ~
6680,Santhosh M,THANJAVUR,IND,0,12th Pass,"Rs 12,47,119  ~ 12 Lacs+",Rs 0  ~
6681,Santhosh Palathumpadan,MAVELIKKARA (SC),BSP,0,10th Pass,,
6682,Santhosh Pulickal,KOTTAYAM,IND,1,10th Pass,"Rs 1,85,515  ~ 1 Lacs+","Rs 40,000  ~ 40 Thou+"
6683,Santhosh Rai,UJIARPUR,Rashtriya Jansambhavna Party,1,Post Graduate,"Rs 60,000  ~ 60 Thou+",Rs 0  ~
6684,Santilata Chattar,MAYURBHANJ (ST),IND,0,10th Pass,,
6685,Santojoy Tripura,TRIPURA EAST (ST),IND,0,10th Pass,"Rs 76,663  ~ 76 Thou+",Rs 0  ~
6686,Santosh,SAMBHAL,Kisan Kranti Dal,2,8th Pass,"Rs 47,40,000  ~ 47 Lacs+",Rs 0  ~
6687,Santosh Bhikaji Bhalerao,THANE,BSP,0,Post Graduate,,
6688,Santosh Bhimrao Ingle,BULDHANA,Republican Party of India (A),0,Literate,"Rs 35,500  ~ 35 Thou+",Rs 0  ~
